city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Filipstad,59.7167,14.1667,Sweden,SE,Värmland,minor,,
Ed,58.9167,11.9167,Sweden,SE,Västra Götaland,minor,,
Hagfors,60.0333,13.6500,Sweden,SE,Värmland,minor,,
Nordmaling,63.5667,19.5000,Sweden,SE,Västerbotten,minor,,
Ockelbo,60.8833,16.7167,Sweden,SE,Gävleborg,minor,,
Ljusdal,61.8333,16.1000,Sweden,SE,Gävleborg,minor,,
Robertsfors,64.1833,20.8500,Sweden,SE,Västerbotten,minor,,
Österbymo,57.8333,15.2667,Sweden,SE,Östergötland,minor,,
Älvsbyn,65.6667,21.0000,Sweden,SE,Norrbotten,minor,,
Vansbro,60.5167,14.2167,Sweden,SE,Dalarna,minor,,
Orsa,61.1167,14.6167,Sweden,SE,Dalarna,minor,,
Malung,60.6667,13.7000,Sweden,SE,Dalarna,minor,,
Svenstavik,62.7667,14.4500,Sweden,SE,Jämtland,minor,,
Hammarstrand,63.1000,16.3500,Sweden,SE,Jämtland,minor,,
Ånge,62.5167,15.6167,Sweden,SE,Västernorrland,minor,,
Strömsund,63.8500,15.5833,Sweden,SE,Jämtland,minor,,
Bräcke,62.7500,15.4167,Sweden,SE,Jämtland,minor,,
Norsjö,64.9167,19.4833,Sweden,SE,Västerbotten,minor,,
Järpen,63.3500,13.4833,Sweden,SE,Jämtland,minor,,
Lycksele,64.6000,18.6667,Sweden,SE,Västerbotten,minor,,
Vindeln,64.2000,19.7333,Sweden,SE,Västerbotten,minor,,
Älvdalen,61.2333,14.0333,Sweden,SE,Dalarna,minor,,
Malå,65.1833,18.7500,Sweden,SE,Västerbotten,minor,,
Bjurholm,63.9333,19.2167,Sweden,SE,Västerbotten,minor,,
Överkalix,66.3167,22.8333,Sweden,SE,Norrbotten,minor,,
Storuman,65.1000,17.1000,Sweden,SE,Västerbotten,minor,,
Arvidsjaur,65.5833,19.1667,Sweden,SE,Norrbotten,minor,,
Sveg,62.0333,14.3500,Sweden,SE,Jämtland,minor,,
Dorotea,64.2667,16.4000,Sweden,SE,Västerbotten,minor,,
Vilhelmina,64.6167,16.6500,Sweden,SE,Västerbotten,minor,,
Gällivare,67.1333,20.7000,Sweden,SE,Norrbotten,minor,,
Pajala,67.2094,23.3798,Sweden,SE,Norrbotten,minor,,
Åsele,64.1667,17.3333,Sweden,SE,Västerbotten,minor,,
Jokkmokk,66.6050,19.8329,Sweden,SE,Norrbotten,minor,,
Sorsele,65.5324,17.5431,Sweden,SE,Västerbotten,minor,,
Sölvesborg,56.0500,14.5500,Sweden,SE,Blekinge,minor,,
Arjeplog,66.0486,17.8850,Sweden,SE,Norrbotten,minor,,
Rättvik,60.8833,15.1000,Sweden,SE,Dalarna,minor,,
Kongsvinger,60.1912,11.9992
Hamar,60.7944,11.0678
Lillehammer,61.1146,10.4674
Gjøvik,60.7957,10.6916
Ringsaker,61.0242,10.8019
Løten,60.8253,11.3908
Stange,60.6494,11.3664
Nord-Odal,60.408176,11.502791
Sør-Odal,60.2575,11.6769
Eidskog,59.9855907,12.0523252
Grue,60.45653,12.05784
Åsnes,60.6536,12.1531
Våler,60.6758482,11.8413468
Elverum,60.8833,11.5667
Trysil,61.31,12.315
Åmot,61.1464,11.4158
Stor-Elvdal,61.57198,11.04759
Rendalen,61.88906,11.078
Engerdal,61.8833,12.0333
Tolga,62.4014,11.0222
Tynset,62.2753,10.8325
Alvdal,62.1094,10.6344
Folldal,62.1992,10.0353
Os,62.4761,11.2431
Dovre,62.035,9.4675
Lesja,62.2106,8.6447
Skjåk,61.8811,8.3693
Lom,61.8108,8.6392
Vågå,61.875,9.0958
Nord-Fron,61.5956,9.7481
Sel,61.77278,9.53415
Sør-Fron,61.5689,9.9233
Ringebu,61.5356,10.3081
Øyer,61.2653,10.4133
Gausdal,61.264802,9.835644
Østre Toten,60.67659,10.81997
Vestre Toten,60.72588,10.61322
Gran,60.4411,10.4956
Søndre Land,60.69944,10.35086
Nordre Land,60.83496,10.07377
Sør-Aurdal,60.82607,9.5464000000001
