field	occupation	n	count	expected	diff
GENERAL EDUCATION	ENT-DESIGNERS	52	2141	10931.6259237619	0.19585375633337
GENERAL EDUCATION	FIN-ACCOUNTANTS AND AUDITORS	187	7013	23074.7659509243	0.303925076202954
GENERAL EDUCATION	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	36	1218	4484.0670526166	0.271628409144609
GENERAL EDUCATION	FIN-PERSONAL FINANCIAL ADVISORS	42	1186	6880.92735380438	0.172360488494952
GENERAL EDUCATION	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	117	5073	4590.10366760233	1.1052037965517
GENERAL EDUCATION	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	102	3794	25803.8188248994	0.147032500334368
GENERAL EDUCATION	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	23	988	4617.17047073684	0.213983868748586
GENERAL EDUCATION	MED-PHARMACISTS	17	643	6156.28278181709	0.104446144335529
GENERAL EDUCATION	MED-PHYSICAL THERAPISTS	35	1020	4709.95667041196	0.216562501818257
GENERAL EDUCATION	MED-PHYSICIANS AND SURGEONS	63	3103	20814.2384404325	0.149080640585548
GENERAL EDUCATION	MED-REGISTERED NURSES	203	7444	39673.67440504	0.187630717639159
GENERAL EDUCATION	MGR-CHIEF EXECUTIVES AND LEGISLATORS	230	8012	16468.4018510563	0.486507438454697
GENERAL EDUCATION	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	54	2193	11251.3338087565	0.194910224625392
GENERAL EDUCATION	MGR-CONSTRUCTION MANAGERS	31	1112	6130.48109371224	0.181388700658506
GENERAL EDUCATION	MGR-EDUCATION ADMINISTRATORS	1584	59512	17637.601185965	3.37415498698068
GENERAL EDUCATION	MGR-FINANCIAL MANAGERS	110	4312	16010.0972853126	0.269330031114536
GENERAL EDUCATION	MGR-FOOD SERVICE MANAGERS	78	2679	5833.57857175218	0.459237836098149
GENERAL EDUCATION	MGR-GENERAL AND OPERATIONS MANAGERS	120	5094	13432.4254123862	0.379231586523664
GENERAL EDUCATION	MGR-HUMAN RESOURCES MANAGERS	67	2298	5552.35681765971	0.413878299876375
GENERAL EDUCATION	MGR-MARKETING AND SALES MANAGERS	118	4359	16249.3371959209	0.268257095501362
GENERAL EDUCATION	MGR-MEDICAL AND HEALTH SERVICES MANAGERS	106	3863	9778.14064922157	0.395064883864964
GENERAL EDUCATION	MGR-MISCELLANEOUS MANAGERS, INCLUDING FUNERAL SERVICE	396	16290	46897.4479318814	0.347353656080843
GENERAL EDUCATION	MGR-PROPERTY, REAL ESTATE, AND COMMUNITY ASSOCIATION	53	2271	4627.75748598502	0.490734444680308
GENERAL EDUCATION	MGR-SOCIAL AND COMMUNITY SERVICE MANAGERS	103	3492	5793.46110831173	0.602748501235318
GENERAL EDUCATION	OFF-CUSTOMER SERVICE REPRESENTATIVES	149	5781	13355.9192455927	0.432841790497322
GENERAL EDUCATION	OFF-FIRST-LINE SUPERVISORS OF OFFICE AND ADMINISTRATIVE	151	4732	11696.1882041849	0.404576253168266
GENERAL EDUCATION	OFF-MISCELLANEOUS OFFICE AND ADMINISTRATIVE SUPPORT	79	3226	4545.65817906043	0.709688206398925
GENERAL EDUCATION	OFF-OFFICE CLERKS, GENERAL	116	4485	5250.09420307399	0.854270385734027
GENERAL EDUCATION	OFF-SECRETARIES AND ADMINISTRATIVE ASSISTANTS	344	12715	16079.8783669484	0.790739812195046
GENERAL EDUCATION	PRT-POLICE OFFICERS	62	2795	7209.79067651368	0.387667288192552
GENERAL EDUCATION	SAL-FIRST-LINE SUPERVISORS OF NON-RETAIL SALES WORKERS	104	3453	11924.7412220427	0.289566032143086
GENERAL EDUCATION	SAL-FIRST-LINE SUPERVISORS OF RETAIL SALES WORKERS	233	9223	19788.2301513805	0.466085138966132
GENERAL EDUCATION	SAL-INSURANCE SALES AGENTS	72	2450	6316.95239058354	0.38784525329843
GENERAL EDUCATION	SAL-REAL ESTATE BROKERS AND SALES AGENTS	122	5089	6869.40814853435	0.74082073592989
GENERAL EDUCATION	SAL-RETAIL SALESPERSONS	248	9930	14999.7364716275	0.662011630589839
GENERAL EDUCATION	SAL-SALES REPRESENTATIVES, SERVICES, ALL OTHER	69	2543	7906.50284034617	0.321633982982122
GENERAL EDUCATION	SAL-SALES REPRESENTATIVES, WHOLESALE AND MANUFACTURING	171	6459	17773.1349566422	0.363413658634609
GENERAL EDUCATION	SAL-SECURITIES, COMMODITIES, AND FINANCIAL SERVICES SALES	34	1509	5554.22119770341	0.271685254563493
ELEMENTARY EDUCATION	BUS-HUMAN RESOURCES WORKERS	102	3373	10236.5850215474	0.329504418993251
ELEMENTARY EDUCATION	BUS-MANAGEMENT ANALYSTS	59	1661	12472.1533561722	0.133176681890141
ELEMENTARY EDUCATION	BUS-MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS	18	582	5380.37865700087	0.108170825345668
ELEMENTARY EDUCATION	CMM-COMPUTER OCCUPATIONS, ALL OTHER	17	629	4886.52932629493	0.128721216634327
ELEMENTARY EDUCATION	CMM-COMPUTER PROGRAMMERS	17	515	9095.93095729538	0.0566187235169089
ELEMENTARY EDUCATION	CMM-COMPUTER SUPPORT SPECIALISTS	41	1400	6200.50305611919	0.225788131596574
ELEMENTARY EDUCATION	CMM-COMPUTER SYSTEMS ANALYSTS	21	753	9432.93077849454	0.0798267280532483
ELEMENTARY EDUCATION	CMM-SOFTWARE DEVELOPERS, APPLICATIONS AND SYSTEMS SOFTWARE	23	736	22831.7219267895	0.0322358516085647
ELEMENTARY EDUCATION	CMS-CLERGY	103	2648	6620.46011688045	0.399972200307995
ELEMENTARY EDUCATION	CMS-COUNSELORS	500	14917	12826.5170628357	1.16298133990103
ELEMENTARY EDUCATION	CMS-SOCIAL WORKERS	200	6008	16371.5904802902	0.366977173490447
ELEMENTARY EDUCATION	EDU-ELEMENTARY AND MIDDLE SCHOOL TEACHERS	23386	665237	85871.5634562782	7.74688352260766
ELEMENTARY EDUCATION	EDU-OTHER TEACHERS AND INSTRUCTORS	387	11548	7029.11788452706	1.64288039974692
ELEMENTARY EDUCATION	EDU-POSTSECONDARY TEACHERS	406	12495	23374.6944555278	0.534552441905613
ELEMENTARY EDUCATION	EDU-PRESCHOOL AND KINDERGARTEN TEACHERS	1216	37904	5850.92718552124	6.47828947415336
ELEMENTARY EDUCATION	EDU-SECONDARY SCHOOL TEACHERS	792	23335	19531.0515810268	1.19476413767032
ELEMENTARY EDUCATION	EDU-SPECIAL EDUCATION TEACHERS	800	24380	5639.01756126085	4.32344814236556
ELEMENTARY EDUCATION	EDU-TEACHER ASSISTANTS	478	15584	4393.70140061629	3.54689556231884
ELEMENTARY EDUCATION	ENG-CIVIL ENGINEERS	2	29	6899.08025698724	0.00420345885534951
ELEMENTARY EDUCATION	ENG-ELECTRICAL AND ELECTRONICS ENGINEERS	2	61	4962.24097394452	0.0122928330809196
ELEMENTARY EDUCATION	ENG-MECHANICAL ENGINEERS	2	38	4401.10658706431	0.0086341921624187
ELEMENTARY EDUCATION	ENG-MISCELLANEOUS ENGINEERS, INCLUDING NUCLEAR ENGINEERS	4	179	9667.0240431919	0.0185165568224755
ELEMENTARY EDUCATION	ENT-DESIGNERS	35	1095	10480.605066354	0.104478700711211
ELEMENTARY EDUCATION	FIN-ACCOUNTANTS AND AUDITORS	172	5525	22122.7391622058	0.249743034056056
ELEMENTARY EDUCATION	FIN-CREDIT COUNSELORS AND LOAN OFFICERS	33	1071	4299.0618410543	0.249124120470281
ELEMENTARY EDUCATION	FIN-PERSONAL FINANCIAL ADVISORS	19	773	6597.03163906645	0.117173911281921
ELEMENTARY EDUCATION	HLS-NURSING, PSYCHIATRIC, AND HOME HEALTH AIDES	77	2305	4400.72356017907	0.523777503512674
ELEMENTARY EDUCATION	LGL-LAWYERS, AND JUDGES, MAGISTRATES, AND OTHER JUDICIAL	50	1414	24739.195815297	0.0571562637103054
ELEMENTARY EDUCATION	MED-CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS	19	560	4426.67363165425	0.126505825050113
ELEMENTARY EDUCATION	MED-PHARMACISTS	6	133	5902.28470705083	0.0225336469860763
ELEMENTARY EDUCATION	MED-PHYSICAL THERAPISTS	11	250	4515.63162575181	0.0553632405651286
ELEMENTARY EDUCATION	MED-PHYSICIANS AND SURGEONS	34	1246	19955.4772887826	0.0624389976731052
ELEMENTARY EDUCATION	MED-REGISTERED NURSES	163	5104	38036.8040280738	0.13418582687002
ELEMENTARY EDUCATION	MGR-CHIEF EXECUTIVES AND LEGISLATORS	104	2979	15788.9427500222	0.188676344399046
ELEMENTARY EDUCATION	MGR-COMPUTER AND INFORMATION SYSTEMS MANAGERS	39	947	10787.1223312693	0.0877898637762617
ELEMENTARY EDUCATION	MGR-CONSTRUCTION MANAGERS	13	417	5877.54755404559	0.0709479585091529
ELEMENTARY EDUCATION	MGR-EDUCATION ADMINISTRATORS	1682	48714	16909.9028485913	2.88079715396224
ELEMENTARY EDUCATION	MGR-FINANCIAL MANAGERS	93	3109	15349.5470748349	0.202546693061525
ELEMENTARY EDUCATION	MGR-FOOD SERVICE MANAGERS	64	2061	5592.89474049623	0.368503269885808
